=== Iteracao: 0===
2 2 0 1 4 1 1 0 2 2 
1 2 5 2 0 1 1 1 4 0 
4 0 2 2 2 0 1 1 2 2 
1 1 0 2 4 2 2 0 1 2 
1 1 4 0 1 2 0 2 2 4 
1 0 1 1 1 4 2 2 0 1 
0 4 1 2 0 2 2 2 4 0 
1 1 0 2 2 0 2 2 2 2 
4 0 1 2 2 2 0 2 2 2 
2 2 2 0 2 4 1 2 0 2 

[Estatisticas]
passos:  1
 | agua: 0
 | repouso: 0/3


=== Iteracao: 1===
2 2 5 2 4 1 1 0 2 2 
2 2 2 2 0 1 1 1 4 0 
4 0 2 2 2 0 2 2 2 2 
1 1 0 2 4 2 2 0 2 2 
1 1 4 0 2 2 0 2 2 4 
1 0 1 2 1 4 2 2 0 1 
0 4 2 2 0 2 2 2 4 0 
1 1 0 2 2 0 2 2 2 2 
4 0 2 2 2 2 0 2 2 2 
2 2 2 0 2 4 2 2 0 2 

[Estatisticas]
passos:  2
 | agua: 0
 | repouso: 0/3


=== Iteracao: 2===
3 3 5 2 4 1 1 0 3 3 
2 3 2 3 0 1 2 2 4 0 
4 0 3 3 3 0 2 2 3 3 
1 1 0 3 4 3 3 0 2 3 
1 1 4 0 2 3 0 3 3 4 
1 0 2 2 2 4 3 3 0 1 
0 4 2 3 0 3 3 3 4 0 
1 1 0 3 3 0 3 3 3 3 
4 0 2 3 3 3 0 3 3 3 
3 3 3 0 3 4 2 3 0 3 

[Estatisticas]
passos:  2
 | agua: 0
 | repouso: 1/3


=== Iteracao: 3===
3 3 5 3 4 1 2 0 3 3 
3 3 3 3 0 2 2 2 4 0 
4 0 3 3 3 0 3 3 3 3 
1 1 0 3 4 3 3 0 3 3 
1 1 4 0 3 3 0 3 3 4 
1 0 2 3 2 4 3 3 0 1 
0 4 3 3 0 3 3 3 4 0 
1 1 0 3 3 0 3 3 3 3 
4 0 3 3 3 3 0 3 3 3 
3 3 3 0 3 4 3 3 0 3 

[Estatisticas]
passos:  2
 | agua: 0
 | repouso: 2/3


=== Iteracao: 4===
3 3 5 3 4 2 2 0 3 3 
3 3 3 3 0 2 3 3 4 0 
4 0 3 3 3 0 3 3 3 3 
1 1 0 3 4 3 3 0 3 3 
1 1 4 0 3 3 0 3 3 4 
1 0 3 3 3 4 3 3 0 1 
0 4 3 3 0 3 3 3 4 0 
1 1 0 3 3 0 3 3 3 3 
4 0 3 3 3 3 0 3 3 3 
3 3 3 0 3 4 3 3 0 3 

[Estatisticas]
passos:  2
 | agua: 0
 | repouso: 3/3


=== Iteracao: 5===
3 5 0 3 4 2 3 0 3 3 
3 3 3 3 0 3 3 3 4 0 
4 0 3 3 3 0 3 3 3 3 
1 1 0 3 4 3 3 0 3 3 
1 1 4 0 3 3 0 3 3 4 
1 0 3 3 3 4 3 3 0 1 
0 4 3 3 0 3 3 3 4 0 
1 1 0 3 3 0 3 3 3 3 
4 0 3 3 3 3 0 3 3 3 
3 3 3 0 3 4 3 3 0 3 

[Estatisticas]
passos:  3
 | agua: 0
 | repouso: 0/3


=== Iteracao: 6===
3 3 5 3 4 3 3 0 3 3 
3 3 3 3 0 3 3 3 4 0 
4 0 3 3 3 0 3 3 3 3 
1 1 0 3 4 3 3 0 3 3 
1 1 4 0 3 3 0 3 3 4 
1 0 3 3 3 4 3 3 0 1 
0 4 3 3 0 3 3 3 4 0 
1 1 0 3 3 0 3 3 3 3 
4 0 3 3 3 3 0 3 3 3 
3 3 3 0 3 4 3 3 0 3 

[Estatisticas]
passos:  4
 | agua: 0
 | repouso: 0/3


